data,title
"[{'Distro_Version': '16.04.1', 'Python_version': '2.7.11'}, {'Distro_Version': '15.04', 'Python_version': '2.7.9'}, {'Distro_Version': '14.04', 'Python_version': '2.7.8'}, {'Distro_Version': '13.10', 'Python_version': '2.7.5'}, {'Distro_Version': '13.04', 'Python_version': '2.7.5'}, {'Distro_Version': '12.10', 'Python_version': '2.7.4'}, {'Distro_Version': '12.04', 'Python_version': '2.7.3'}, {'Distro_Version': '11.10', 'Python_version': '2.7.3'}]",ubuntudp
"[{'Distro_Version': '11', 'Python_version': '--'}]",ubos
"[{'Distro_Version': '16.04', 'Python_version': '2.7.11'}]",tuxtrans
"[{'Distro_Version': '4.3', 'Python_version': '2.7.5'}, {'Distro_Version': 'heraclitus', 'Python_version': '2.7.4'}, {'Distro_Version': '3.0', 'Python_version': '2.7.3'}, {'Distro_Version': 'plato', 'Python_version': '2.6.5'}]",uberstudent
"[{'Distro_Version': '20170622', 'Python_version': '--'}, {'Distro_Version': '10.3', 'Python_version': '2.7.11'}, {'Distro_Version': '10.0.3', 'Python_version': '2.7.8'}, {'Distro_Version': '9.2', 'Python_version': '2.7.5'}, {'Distro_Version': '9.1', 'Python_version': '2.7.3'}, {'Distro_Version': '9.0', 'Python_version': '2.7.2'}, {'Distro_Version': '8.2', 'Python_version': '2.6.6'}, {'Distro_Version': '8.1', 'Python_version': '2.6.5'}, {'Distro_Version': '8.0', 'Python_version': '2.6.4'}, {'Distro_Version': '7.1.1', 'Python_version': '2.6.2'}, {'Distro_Version': '7.0.2', 'Python_version': '2.5.2'}, {'Distro_Version': '1.5.1', 'Python_version': '2.5.2'}, {'Distro_Version': '1.4.1', 'Python_version': '2.5.1'}, {'Distro_Version': '1.3', 'Python_version': '2.4.3'}, {'Distro_Version': '1.2', 'Python_version': '2.4.3'}, {'Distro_Version': '1.11', 'Python_version': '2.4.3'}]",trueos
"[{'Distro_Version': '14.2', 'Python_version': '2.7.9'}, {'Distro_Version': '13.0', 'Python_version': '2.7.3'}, {'Distro_Version': '12.0', 'Python_version': '2.6.6'}, {'Distro_Version': '11.3', 'Python_version': '2.6.5'}]",turnkey
"[{'Distro_Version': 'snapshot', 'Python_version': '3.6.2'}, {'Distro_Version': '17.04', 'Python_version': '2.7.13'}, {'Distro_Version': 'zesty', 'Python_version': '2.7.11'}, {'Distro_Version': '16.10', 'Python_version': '3.5.1'}, {'Distro_Version': 'yakkety', 'Python_version': '2.7.9'}, {'Distro_Version': '16.04 LTS', 'Python_version': '2.7.8'}, {'Distro_Version': 'xenial', 'Python_version': '2.7.6'}, {'Distro_Version': '15.10', 'Python_version': '2.7.5'}, {'Distro_Version': 'wily', 'Python_version': '2.7.4'}, {'Distro_Version': '15.04', 'Python_version': '2.7.3'}, {'Distro_Version': 'vivid', 'Python_version': '2.7.3'}, {'Distro_Version': '14.10', 'Python_version': '2.7.2'}, {'Distro_Version': 'utopic', 'Python_version': '2.7.1'}, {'Distro_Version': '14.04 LTS', 'Python_version': '2.6.6'}, {'Distro_Version': 'trusty', 'Python_version': '2.6.5'}, {'Distro_Version': '13.10', 'Python_version': '2.6.4rc2'}, {'Distro_Version': 'saucy', 'Python_version': '2.6.2'}, {'Distro_Version': '13.04', 'Python_version': '2.5.2'}, {'Distro_Version': 'raring', 'Python_version': '2.5.2'}, {'Distro_Version': '12.10', 'Python_version': '2.5.1'}, {'Distro_Version': 'quantal', 'Python_version': '2.5.1rc1'}, {'Distro_Version': '12.04 LTS', 'Python_version': '2.4.4'}, {'Distro_Version': 'precise', 'Python_version': '2.4.3'}, {'Distro_Version': '11.10', 'Python_version': '2.4.2'}, {'Distro_Version': 'oneiric', 'Python_version': '2.4.1'}, {'Distro_Version': '11.04', 'Python_version': '2.3.4'}]",ubuntu
"[{'Distro_Version': '8.0-alpha', 'Python_version': '2.7.11'}, {'Distro_Version': '7.0', 'Python_version': '2.7.5'}, {'Distro_Version': '6.0', 'Python_version': '2.7.3'}, {'Distro_Version': '5.5', 'Python_version': '2.7.2'}, {'Distro_Version': '5.0', 'Python_version': '2.7.1'}, {'Distro_Version': '4.5.1', 'Python_version': '2.6.6'}, {'Distro_Version': '4.0', 'Python_version': '2.6.5'}, {'Distro_Version': '3.5', 'Python_version': '2.6.4'}, {'Distro_Version': '3.0.1', 'Python_version': '2.5.2'}, {'Distro_Version': '2.2.2', 'Python_version': '2.5.2'}, {'Distro_Version': '2.1', 'Python_version': '2.5.2'}, {'Distro_Version': '2.0', 'Python_version': '2.5.2'}, {'Distro_Version': '1.5', 'Python_version': '2.4.4'}, {'Distro_Version': '1.0', 'Python_version': '2.4.4'}]",trisquel
"[{'Distro_Version': '6.0', 'Python_version': '--'}, {'Distro_Version': '2014', 'Python_version': '--'}, {'Distro_Version': '4.3.1', 'Python_version': '--'}]",toutou
"[{'Distro_Version': '1.0', 'Python_version': '2.7.9'}]",torios
